surfline_spot_id,name,timestamp,avg_height,swell1_height,swell1_period,swell1_direction,swell1_is_favorable_direction,swell2_height,swell2_period,swell2_direction,swell2_is_favorable_direction,swell3_height,swell3_period,swell3_direction,swell3_is_favorable_direction,swell4_height,swell4_period,swell4_direction,swell4_is_favorable_direction,swell5_height,swell5_period,swell5_direction,swell5_is_favorable_direction,swell6_height,swell6_period,swell6_direction,swell6_is_favorable_direction
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-17 00:01:16.100093,3.0,0.59,16,185.63,Y,0.39,5,272.81,Y,0.2,22,185.63,Y,1.51,12,182.81,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-17 16:00:14.826304,3.5,2.66,6,233.44,Y,0.98,11,182.81,Y,0.95,20,187.03,Y,1.15,6,281.25,N,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-17 16:00:14.826304,3.5,2.76,6,240.47,Y,0,0,0,N,0.92,20,189.84,Y,0.98,11,185.63,Y,0.72,14,203.91,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-17 16:00:14.826304,3.5,3.28,4,219.38,Y,0.98,18,202.5,Y,0.92,11,188.44,N,1.02,7,286.88,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-17 16:00:14.826304,3.0,3.9,9,295.31,N,0.79,20,184.22,Y,0.89,15,202.5,N,1.21,11,182.81,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-17 16:00:14.826304,3.5,3.35,4,217.97,N,1.05,18,203.91,N,0.98,11,188.44,N,1.05,7,289.69,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-17 16:00:14.826304,3.5,1.41,6,274.22,Y,0.39,20,195.47,N,0.39,10,281.25,N,0.59,6,213.75,Y,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-17 16:00:14.826304,4.0,1.31,6,271.41,Y,1.41,4,184.22,Y,1.12,20,182.81,Y,1.12,11,181.41,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-18 00:01:09.915468,3.5,2.66,6,233.44,Y,0.98,11,182.81,Y,0.95,20,187.03,Y,1.15,6,281.25,N,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-18 00:01:09.915468,3.5,2.76,6,240.47,Y,0,0,0,N,0.92,20,189.84,Y,0.98,11,185.63,Y,0.72,14,203.91,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-18 00:01:09.915468,3.5,3.28,4,219.38,Y,0.98,18,202.5,Y,0.92,11,188.44,N,1.02,7,286.88,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-18 00:01:09.915468,3.25,3.9,9,295.31,N,0.79,20,184.22,Y,0.89,15,202.5,N,1.21,11,182.81,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-18 00:01:09.915468,3.5,3.35,4,217.97,N,1.05,18,203.91,N,0.98,11,188.44,N,1.05,7,289.69,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-18 00:01:09.915468,3.5,1.41,6,274.22,Y,0.39,20,195.47,N,0.39,10,281.25,N,0.59,6,213.75,Y,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-18 00:01:09.915468,4.0,1.31,6,271.41,Y,1.41,4,184.22,Y,1.12,20,182.81,Y,1.12,11,181.41,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-19 00:00:48.341808,3.5,1.48,5,240.47,Y,0.75,7,281.25,N,1.77,16,189.84,Y,0.69,10,181.41,Y,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-19 00:00:48.341808,3.5,1.57,6,247.5,Y,1.8,16,191.25,N,0.69,10,185.63,Y,0.75,14,202.5,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-19 00:00:48.341808,3.5,0.89,7,286.88,Y,1.57,6,248.91,N,0.82,14,208.13,Y,1.87,16,199.69,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-19 00:00:48.341808,3.75,1.8,8,316.41,Y,1.61,6,260.16,Y,1.71,18,185.63,Y,0.89,10,181.41,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-19 00:00:48.341808,3.5,1.87,6,260.16,Y,2,16,202.5,N,0.66,10,185.63,N,0.85,14,206.72,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-19 00:00:48.341808,3.5,0.98,6,274.22,Y,0.39,9,277.03,Y,0.3,5,213.75,Y,0,0,0,N,0.69,16,195.47,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-19 00:00:48.341808,4.5,0.79,6,271.41,Y,0.69,10,181.41,Y,1.9,18,185.63,Y,0.59,14,188.44,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-19 16:00:27.511148,3.5,4.13,6,254.53,Y,3.35,6,277.03,N,0.49,12,188.44,Y,1.84,15,189.84,Y,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-19 16:00:27.511148,3.5,5.05,6,255.94,Y,1.97,15,192.66,N,0.62,12,198.28,N,0.33,10,187.03,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-19 16:00:27.511148,3.75,4.17,6,265.78,N,0.49,9,286.88,Y,2.07,15,198.28,Y,0.36,10,188.44,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-19 16:00:27.511148,3.0,2.99,8,306.56,Y,0.59,10,181.41,Y,1.8,16,187.03,Y,0.69,14,296.72,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-19 16:00:27.511148,3.75,4.56,6,267.19,Y,0.49,9,288.28,N,2.23,15,198.28,N,0.36,10,187.03,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-19 16:00:27.511148,3.0,2.59,5,272.81,Y,0.3,9,277.03,Y,0.3,12,279.84,Y,0.59,15,195.47,N,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-19 16:00:27.511148,3.75,2.59,6,274.22,Y,2,15,185.63,Y,0.39,10,181.41,Y,0.49,12,188.44,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-18 16:00:18.200542,3.5,1.48,5,240.47,Y,0.75,7,281.25,N,1.77,16,189.84,Y,0.69,10,181.41,Y,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-18 16:00:18.200542,3.5,1.57,6,247.5,Y,0.69,10,185.63,Y,1.8,16,191.25,N,0.75,14,202.5,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-18 16:00:18.200542,3.5,0.89,7,286.88,Y,1.57,6,248.91,N,1.87,16,199.69,Y,0,0,0,N,0.82,14,208.13,Y,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-18 16:00:18.200542,3.75,1.8,8,316.41,Y,1.61,6,260.16,Y,0.89,10,181.41,Y,1.71,18,185.63,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-18 16:00:18.200542,3.5,1.87,6,260.16,Y,2,16,202.5,N,0.85,14,206.72,N,0.66,10,185.63,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-18 16:00:18.200542,3.5,0.98,6,274.22,Y,0.39,9,277.03,Y,0.3,5,213.75,Y,0,0,0,N,0.69,16,195.47,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-18 16:00:18.200542,4.5,0.79,6,271.41,Y,0.59,14,188.44,Y,1.9,18,185.63,Y,0.69,10,181.41,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-20 00:02:26.397217,3.0,4.13,6,254.53,Y,3.35,6,277.03,N,1.84,15,189.84,Y,0.49,12,188.44,Y,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-20 00:02:26.397217,3.0,5.05,6,255.94,Y,0.62,12,198.28,N,0.33,10,187.03,Y,1.97,15,192.66,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-20 00:02:26.397217,3.75,4.17,6,265.78,N,0.49,9,286.88,Y,0.36,10,188.44,N,2.07,15,198.28,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-20 00:02:26.397217,3.0,2.99,8,306.56,Y,0.59,10,181.41,Y,1.8,16,187.03,Y,0.69,14,296.72,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-20 00:02:26.397217,3.75,4.56,6,267.19,Y,2.23,15,198.28,N,0.49,9,288.28,N,0.36,10,187.03,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-20 00:02:26.397217,3.0,0.3,9,277.03,Y,2.59,5,272.81,Y,0.59,15,195.47,N,0.3,12,279.84,Y,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-20 00:02:26.397217,3.75,2.59,6,274.22,Y,2,15,185.63,Y,0.39,10,181.41,Y,0.49,12,188.44,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-23 00:00:17.391797,2.5,0.23,5,250.31,Y,0.23,9,285.47,N,0.59,20,191.25,N,1.25,12,191.25,N,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-23 00:00:17.391797,2.5,0,0,0,N,0.56,18,191.25,N,1.38,12,194.06,N,0.36,5,250.31,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-23 00:00:17.391797,2.5,0.33,8,285.47,Y,0.75,6,265.78,N,0.69,18,203.91,Y,1.31,12,196.88,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-23 00:00:17.391797,3.25,0.89,10,296.72,N,0.69,8,327.66,N,0.49,20,189.84,Y,1.41,12,191.25,N,0,0,0,N,0,0,0,N
